572,242
578,323
479,465
598,727
612,287
605,298
610,322
383,323
617,336
352,374
388,386
611,232
586,235
594,234
610,234
602,237
596,242
612,243
579,243
561,245
580,247
616,247
589,248
561,252
603,252
516,252
511,257
523,257
572,258
585,259
594,273
581,275
620,293
538,294
627,294
575,295
582,299
587,305
581,305
606,305
568,306
589,309
596,310
572,312
565,312
580,317
560,319
590,323
601,324
615,325
370,327
398,328
381,329
441,334
384,335
414,335
362,338
605,338
389,340
613,340
625,341
608,344
398,345
387,350
361,354
404,355
531,356
409,356
398,359
357,359
344,362
354,362
423,362
392,370
498,370
377,372
520,374
500,378
401,379
340,379
426,379
492,380
358,380
352,382
420,383
479,384
363,384
358,385
351,387
437,389
364,389
339,391
533,391
492,392
533,396
475,397
483,397
497,399
364,399
416,401
474,403
486,407
496,410
471,412
485,425
473,428
407,429
473,458
464,462
488,484
515,605
588,229
596,231
607,239
605,247
567,252
580,256
572,265
578,266
601,295
578,298
611,313
608,315
392,324
419,335
423,350
369,370
438,374
492,375
520,379
474,385
354,398
434,407
417,409
475,412
392,424
399,425
499,435
